actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,"Surface wind speed (m/s), total precipitable water (g/cm sq.) and cloud liquid water (mg/cm sq.) content over oceans are derived using 18.7, 23.8 and 36.5 GHz channels.Rain flags are generated using 89 GHz.",2013-12-21,14 Orbit/Day,45, - ,MT1MADSGPL2A,MT1MADS,L2A,P,2011-10-13,"Cloud_Liquid_Water.jpeg,Ocean_Wind_Speed.jpeg,Total_Precipitable_Water.jpeg",10.19038/SAC/10/MT1SAPSGPL2A
In-Active,1,"Brightness Temperature Product at 18/23/36 , 89 AND 157 GHz",2013-12-21,14 Orbit/Day,49, - ,MT1MADSL1A,MT1MADS,L1A,P,2011-10-13,"TB_Samples_157.0_H.jpeg,TB_Samples_157.0_V.jpeg,TB_Samples_18.7_H.jpeg,TB_Samples_18.7_V.jpeg,TB_Samples_23.8_V.jpeg,TB_Samples_36.5_H.jpeg,TB_Samples_36.5_V.jpeg,TB_Samples_89.0_H.jpeg,TB_Samples_89.0_V.jpeg",10.19038/SAC/10/MT1MADSL1A
In-Active,1,"Radiance Values for infrared, solar, synthetic_LW, total and Visible channels",2013-12-21,14 Orbit/Day,50, - ,MT1MADSL1A2,MT1MADS,L1A2,P,2011-10-13,"TB_Pixels_157.0_H.jpeg,TB_Pixels_157.0_V.jpeg,TB_Pixels_18.7_H.jpeg,TB_Pixels_18.7_V.jpeg,TB_Pixels_23.8_V.jpeg,TB_Pixels_36.5_H.jpeg,TB_Pixels_36.5_V.jpeg,TB_Pixels_89.0_H.jpeg,TB_Pixels_89.0_V.jpeg",10.19038/SAC/10/MT1MADSL1A2
In-Active,1,"Radiance Values for infrared, solar, synthetic_LW, total and Visible channels",2013-12-21,14 Orbit/Day,51, - ,MT1MADSL1B,MT1MADS,L1B,P,2011-10-13,"TB_Cells_157.0H.jpeg,TB_Cells_157.0V.jpeg,TB_Cells_18.7H.jpeg,TB_Cells_18.7V.jpeg,TB_Cells_23.8V.jpeg,TB_Cells_36.5H.jpeg,TB_Cells_36.5V.jpeg,TB_Cells_89.0H.jpeg,TB_Cells_89.0V.jpeg",10.19038/SAC/10/MT1MADSL1B
In-Active,1,"Rain Rate (mm/hr) retrieved from MADRAS, high and low frequency (89, 23.5 , 19 GHz) channels using emission and scattering charateristics of atmospheric and oceanic variables.",2013-12-21,14 Orbit/Day,56, - ,MT1MADSRRL2A,MT1MADS,L2A,P,2011-10-13,Rain_Rate.jpeg,10.19038/SAC/10/MT1MADSRRL2A
