actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,This product gives reflected flux at top of atmosphere in Watts/mt.sq and earth emitted long wave flux at TOA in Watts/mt.sq,2022-03-13,14 Orbit/Day,46, - ,MT1SCASGPL2A,MT1SCA,L2A,P,2011-11-03,"Flux_Longwave_TOA.jpeg,Flux_Shortwave_TOA.jpeg",10.19038/SAC/10/MT1SCASGPL2A
In-Active,1,"Radiance Values for infrared, solar, synthetic_LW, total and Visible channels",2022-03-14,14 Orbit/Day,41, - ,MT1SCASL1A,MT1SCA,1,P,2011-11-03,"FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg,FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg",10.19038/SAC/10/MT1SCASL1A
In-Active,1,"Radiance Values for infrared, solar, synthetic_LW, total and Visible channels",2022-03-14,14 Orbit/Day,42, - ,MT1SCASL1A2,MT1SCA,L1A2,P,2011-11-03,"FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg,FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg",10.19038/SAC/10/MT1SCASL1A2
In-Active,1,"Radiance Values for infrared, solar, synthetic_LW, total and Visible channels",2022-03-14,14 Orbit/Day,44, - ,MT1SCASL1B,MT1SCA,L1B,P,2011-11-03,"FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg,FilteredRadiance_Infrared.jpeg,FilteredRadiance_Solar.jpeg,FilteredRadiance_SyntheticLW.jpeg,FilteredRadiance_Visible.jpeg",10.19038/SAC/10/MT1SCASL1B
