actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
In-Active,1,Layer average relative humidity (%) for 6 layers are derived using 6 channels of SAPHIR.,2022-03-14,14 Orbit/Day,47, - ,MT1SAPSGPL2A,MT1SAPS,L2A,P,2011-10-13,"RelativeHumidity_L1.jpeg,RelativeHumidity_L2.jpeg,RelativeHumidity_L3.jpeg,RelativeHumidity_L4.jpeg,RelativeHumidity_L5.jpeg,RelativeHumidity_L6.jpeg
",10.19038/SAC/10/MT1SAPSGPL2A
In-Active,1,"Brightness temperature Product at S1, S2, S3, S4, S5 and S6 Channel.  ",2022-03-14,14 Orbit/Day,52, - ,MT1SAPSL1A,MT1SAPS,L1A,P,2011-10-13,"TB_Samples_S1.jpeg,TB_Samples_S2.jpeg,TB_Samples_S3.jpeg,TB_Samples_S4.jpeg,TB_Samples_S5.jpeg,TB_Samples_S6.jpeg",10.19038/SAC/10/MT1SAPSL1A
In-Active,1,"Brightness temperature Product at S1, S2, S3, S4, S5 and S6 Channel.  ",2022-03-14,14 Orbit/Day,53, - ,MT1SAPSL1A2,MT1SAPS,L1A2,P,2011-10-13,"TB_Pixels_S1.jpeg,TB_Pixels_S2.jpeg,TB_Pixels_S3.jpeg,TB_Pixels_S4.jpeg,TB_Pixels_S5.jpeg,TB_Pixels_S6.jpeg",10.19038/SAC/10/MT1SAPSL1A2
In-Active,1,"Brightness temperature Product at S1, S2, S3, S4, S5 and S6 Channel.  ",2022-03-14,14 Orbit/Day,55, - ,MT1SAPSL1B,MT1SAPS,L1B,P,2011-10-13,"TB_Cells_S1.jpeg,TB_Cells_S2.jpeg,TB_Cells_S3.jpeg,TB_Cells_S4.jpeg,TB_Cells_S5.jpeg,TB_Cells_S6.jpeg",10.19038/SAC/10/MT1SAPSL1B
In-Active,1,Rain Rate has been retrieved from SAPHIR channels using a probabilistic rain identification algorithm and RT simulations supported retrieval algorithm,2022-03-14,14 Orbit/day,153, - ,MT1SAPSRRL2A,MT1SAPS,L2A,P,2015-07-22,RR.jpeg,10.19038/SAC/10/MT1SAPSRRL2A
