actv,crnt_flg,description,enddate,frequency,id,longres,name,prefix,processlevel,satinorbit,startdate,suffix,techdoc
Active,0,Geotagged level-1 Brightness temperature product derived using Microwave Humidity Sounder on board Microsat-2B,2024-12-06,Orbitwise,362, - ,E07MHSL1,E07MHSL1,L1,P,2023-03-22,"TB_Samples_S1.png,TB_Samples_S2.png,TB_Samples_S3.png,TB_Samples_S4.png,TB_Samples_S5.png,TB_Samples_S6.png",
Active,0,"Geotagged level-2 specific humidity profile(20 layers),Average column integrated Water vapour(3 layers) derived using Microwave Humidity Sounder on board Microsat-2B",2024-12-05,Orbitwise,363, - ,E07MHSL2,E07MHSL2,L2,P,2023-03-22,"IW_layer1.png,IW_layer2.png,IW_layer3.png,SH_layer1.png,SH_layer2.png,SH_layer3.png,SH_layer4.png,SH_layer5.png,SH_layer6.png,SH_layer7.png,SH_layer8.png,SH_layer9.png,SH_layer10.png,SH_layer11.png,SH_layer12.png,SH_layer13.png,SH_layer14.png,SH_layer15.png,SH_layer16.png,SH_layer17.png,SH_layer18.png,SH_layer19.png,SH_layer20.png",
Active,0,"Gridded level3 Brightness temperature,specific humidity and integrated water vapoure derived using Microwave Humidity Sounder on board Microsat-2B ",2024-12-05,Orbitwise,366, - ,E07MHSL3,E07MHSL3,L3,P,2023-03-22,"TB_Cells_1.png,TB_Cells_2.png,TB_Cells_3.png,TB_Cells_4.png,TB_Cells_5.png,TB_Cells_6.png,SH_Cells_1.png,SH_Cells_2.png,SH_Cells_3.png,SH_Cells_4.png,SH_Cells_5.png,SH_Cells_6.png,SH_Cells_7.png,SH_Cells_8.png,SH_Cells_9.png,SH_Cells_10.png,SH_Cells_11.png,SH_Cells_12.png,SH_Cells_13.png,SH_Cells_14.png,SH_Cells_15.png,SH_Cells_16.png,SH_Cells_17.png,SH_Cells_18.png,SH_Cells_19.png,SH_Cells_20.png,IWV_Cell_1.png,IWV_Cell_2.png,IWV_Cell_3.png",
